#,Bedrijfsnaam,Telefoon,Email,Stad,Niche,Rating,Reviews,Preview Link,Subsidie Regio,Status,Notities,Datum Gebeld,Follow-up Datum,WhatsApp Verstuurd
1,"BC Plomberie",+33 6 58 18 14 76,,Lyon,plombier,4.9,201,netjesonline.com/bc-plomberie-lyon,"Auvergne-Rhône-Alpes (tot €16.000)",Nog niet gebeld,,,,Nee
2,"Artisan Plomberie Toulousaine 31",+33 6 43 02 43 89,,Toulouse,plombier,4.9,199,netjesonline.com/artisan-plomberie-toulousaine-31-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
3,"Technitoit Siège",+33 2 41 72 67 20,,Paris,couvreur,3.7,108,netjesonline.com/technitoit-si-ge-paris,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
4,"Bordeaux Rive Droite Plomberie",+33 6 64 79 23 68,,Artigues-près-Bordeaux,plombier,5,90,netjesonline.com/bordeaux-rive-droite-plomberie-artigues-pr-s-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
5,"Artisan Plomberie dépannage Reno Bat Paris 12",+33 1 43 70 45 42,,Paris,plombier,4.6,78,netjesonline.com/artisan-plomberie-d-pannage-reno-bat-paris-12-paris,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
6,"Les Compagnons de l'Habitat Toiture de France",+33 5 33 06 27 00,,Toulouse,couvreur,4.9,74,netjesonline.com/les-compagnons-de-l-habitat-toiture-de-france-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
7,"Etcheverry Artisan - Dépannage et Installation",+33 7 44 77 40 09,,Bordeaux,plombier,4.5,66,netjesonline.com/etcheverry-artisan-d-pannage-et-installation-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
8,"ADORÉNOV PLOMBERIE",+33 6 67 51 51 97,,Nantes,plombier,4.4,47,netjesonline.com/ador-nov-plomberie-nantes,"Pays de la Loire (tot €5.000)",Nog niet gebeld,,,,Nee
9,"ECO CHAUFFAGE PLOMBERIE",+33 7 67 25 90 98,,Bordeaux,plombier,5,36,netjesonline.com/eco-chauffage-plomberie-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
10,"Dc Plomberie",+33 6 81 44 80 38,,Toulouse,plombier,5,27,netjesonline.com/dc-plomberie-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
11,"RDA Rénovation Couvreur",+33 5 40 71 35 82,,Bordeaux,maçon,4.8,26,netjesonline.com/rda-r-novation-couvreur-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
12,"Ent. Générale de Maçonnerie "Terra Rénov Construction"",+33 6 78 68 11 34,,Mérignac,maçon,5,26,netjesonline.com/ent-g-n-rale-de-ma-onnerie-terra-r-nov-construction-m-rignac,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
13,"GABEN PLOMBERIE",+33 6 47 97 36 16,,Bordeaux,plombier,5,19,netjesonline.com/gaben-plomberie-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
14,"Sella'plomberie",+33 6 50 37 09 55,,Nantes,plombier,5,18,netjesonline.com/sella-plomberie-nantes,"Pays de la Loire (tot €5.000)",Nog niet gebeld,,,,Nee
15,"La Française de Construction- LFC",+33 4 78 84 41 71,,Villeurbanne,maçon,4,11,netjesonline.com/la-fran-aise-de-construction-lfc-villeurbanne,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
16,"Entreprise Plomberie Maçonnerie Lyon - ASF PLOMBERIE",+33 6 21 80 01 34,,Sainte-Foy-lès-Lyon,maçon,4,7,netjesonline.com/entreprise-plomberie-ma-onnerie-lyon-asf-plomberie-sainte-foy-l-s-lyon,"Auvergne-Rhône-Alpes (tot €16.000)",Nog niet gebeld,,,,Nee
17,"Pierres Construction",+33 4 78 83 07 07,,Lyon,maçon,4,6,netjesonline.com/pierres-construction-lyon,"Auvergne-Rhône-Alpes (tot €16.000)",Nog niet gebeld,,,,Nee
18,"Fontaines MACONNERIE",+33 7 61 96 01 84,,Fontaines-sur-Saône,maçon,5,6,netjesonline.com/fontaines-maconnerie-fontaines-sur-sa-ne,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
19,"Batir france maçonnerie",+33 6 01 17 60 29,,Lyon,maçon,4.8,5,netjesonline.com/batir-france-ma-onnerie-lyon,"Auvergne-Rhône-Alpes (tot €16.000)",Nog niet gebeld,,,,Nee
20,"Rénovation 31",+33 5 61 70 72 21,,Toulouse,maçon,4.2,5,netjesonline.com/r-novation-31-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
21,"Charpentier maçonnerie Schmitt André",+33 6 11 60 69 58,,Toulouse,maçon,5,4,netjesonline.com/charpentier-ma-onnerie-schmitt-andr-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
22,"SCC 33",+33 6 16 10 14 22,,Bordeaux,plombier,5,3,netjesonline.com/scc-33-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
23,"JBRT",+33 6 64 10 66 26,,Paris,maçon,5,3,netjesonline.com/jbrt-paris,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
24,"Saint Sauveur",+33 6 70 21 00 16,,Toulouse,maçon,4,3,netjesonline.com/saint-sauveur-toulouse,"Occitanie (tot €3.000)",Nog niet gebeld,,,,Nee
25,"mb couverture",+33 6 51 80 33 41,,Paris,couvreur,5,2,netjesonline.com/mb-couverture-paris,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
26,"BERTAN CONSTRUCTIONS",+33 5 56 80 50 40,,Bordeaux,maçon,4.5,2,netjesonline.com/bertan-constructions-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
27,"MGA RENOVATION BORDEAUX",+33 7 60 82 27 89,,Bordeaux,maçon,5,2,netjesonline.com/mga-renovation-bordeaux-bordeaux,"Nouvelle-Aquitaine (tot €5.000)",Nog niet gebeld,,,,Nee
28,"Nunez Aldo Maçonnerie générale Bordeaux",+33 6 73 50 83 53,,Floirac,maçon,5,1,netjesonline.com/nunez-aldo-ma-onnerie-g-n-rale-bordeaux-floirac,"France Num nationaal (€750)",Nog niet gebeld,,,,Nee
29,"Maçon Nantes - CPConsrtuction",+33 7 44 29 35 72,,Nantes,maçon,5,1,netjesonline.com/ma-on-nantes-cpconsrtuction-nantes,"Pays de la Loire (tot €5.000)",Nog niet gebeld,,,,Nee
